"","usernames","start_date","account_age_days","number_of_games","games_per_day","elo_progress_day","n_friends_G","n_friends_US","grit","grit_friend_G","grit_friend_US","grit_not_friend_G","grit_not_friend_US"
"48","CHESScom124","2023-05-03 04:43:47",229,1391,6.07423580786026,2.79039301310044,4,14,-0.265925174453501,NA,-1.19869574722509,-0.238861657559188,-0.211722752097067
"49","amielrd","2021-06-04 12:13:25",923,449,0.486457204767064,-0.270855904658722,0,0,0.305346198824734,NA,NA,0.305346198824734,0.305346198824734
"50","Fedeandres","2021-06-30 17:32:26",903,4533,5.01993355481728,0.197120708748616,0,4,0.013390822784713,NA,0.708185057924486,0.013390822784713,-0.0185265314045627
"51","DatAgZuu","2018-03-17 21:16:23",2027,514,0.253576714356191,0.161815490873212,0,1,-0.233529965140964,NA,-Inf,-0.233529965140964,-0.223006836569311
"52","bradibart","2021-11-07 10:49:06",572,2369,4.14160839160839,0.160839160839161,0,1,-0.00267829319287934,NA,NA,-0.00267829319287934,0.00277131157468535
"53","panglim4_kumbang","2021-03-31 15:30:20",991,5716,5.76791120080727,0.676084762865792,2,3,-0.0280719048789471,-1.6094379124341,-1.09861228866811,-0.02542312829127,-0.0248626898920587
"54","jjoeman","2016-09-01 19:15:39",2190,648,0.295890410958904,-0.0584474885844749,0,0,0.299275496992647,NA,NA,0.299275496992647,0.299275496992647
"55","fabiii87","2023-02-08 15:05:15",293,94,0.320819112627986,0.399317406143345,0,0,-0.0246926125903721,NA,NA,-0.0246926125903721,-0.0246926125903721
"56","jesusrobertosolanoh","2021-11-24 14:01:18",575,344,0.598260869565217,0.784347826086957,0,0,-0.363160050973203,NA,NA,-0.363160050973203,-0.363160050973203
"57","khall111","2023-01-14 21:14:55",338,565,1.67159763313609,-0.343195266272189,0,1,-0.460808874658189,NA,-2.484906649788,-0.460808874658189,-0.424233094950024
"58","enxadrismo","2017-10-06 12:46:04",2265,520,0.229580573951435,0.154966887417219,1,0,-0.383142388935694,Inf,NA,-0.396765787419891,-0.383142388935694
"59","ArcticAndrii","2021-09-15 08:08:54",807,1360,1.68525402726146,-0.0631970260223048,0,0,-0.136679119100421,NA,NA,-0.136679119100421,-0.136679119100421
"60","kamalsiri","2021-12-16 00:12:20",605,571,0.943801652892562,0.0578512396694215,0,0,-0.169754761473441,NA,NA,-0.169754761473441,-0.169754761473441
"61","mzf","2020-02-08 20:08:14",1275,882,0.691764705882353,-0.0454901960784314,0,1,-0.00963879673928113,NA,Inf,-0.00963879673928113,-0.0193242728264029
"62","iRoopz","2022-07-11 20:14:41",527,2249,4.26755218216319,0.326375711574953,0,4,0.0869916762439561,NA,0.405465108108164,0.0869916762439561,0.0891865203190569
"63","jja854","2017-11-22 14:06:59",834,1978,2.37170263788969,-0.533573141486811,1,1,-0.224548539251687,NA,NA,-0.220317692845948,-0.223252698717887
"64","nenja_the_silent","2020-01-07 14:10:59",1442,1302,0.902912621359223,0.0922330097087379,0,1,0.0723438938911259,NA,NA,0.0723438938911259,0.079021986956151
"65","irfanasrullah","2021-01-07 05:59:57",1003,913,0.910269192422732,0.25024925224327,0,0,0.208000793789523,NA,NA,0.208000793789523,0.208000793789523
"66","TiagoGuedes","2021-10-28 08:04:14",517,1558,3.01353965183752,-0.357833655705996,0,0,-0.0207884550842959,NA,NA,-0.0207884550842959,-0.0207884550842959
"67","Youpix_ighid8","2023-08-29 00:21:33",109,308,2.8256880733945,-1.61467889908257,0,0,-0.383567865459937,NA,NA,-0.383567865459937,-0.383567865459937
"68","leograndecapivara","2020-06-01 22:16:59",1028,709,0.689688715953307,0.170233463035019,2,0,0.391562382633676,1.00764051046238,NA,0.198417860278301,0.391562382633676
"69","Chimitosik_87","2020-04-12 06:36:56",1345,512,0.380669144981413,0.0706319702602231,0,1,-0.155601006404905,NA,-0.916290731874155,-0.155601006404905,-0.0607354872443963
"70","anilm_sg","2021-04-03 17:16:12",981,1500,1.52905198776758,-0.145769622833843,0,1,-0.184397898085239,NA,-Inf,-0.184397898085239,-0.181946360664306
"71","tostaditens","2023-02-15 16:56:42",302,165,0.54635761589404,-0.367549668874172,0,0,-0.334006144126019,NA,NA,-0.334006144126019,-0.334006144126019
"72","Andique","2015-08-20 19:36:08",3007,3703,1.23145992683738,0.0741602926504822,0,0,-0.171819909545705,NA,NA,-0.171819909545705,-0.171819909545705
"73","granguerrerov","2020-08-31 11:20:42",1204,252,0.209302325581395,0.792358803986711,1,0,-0.231928380869943,NA,NA,-0.206004041437514,-0.231928380869943
"74","Julio_tos","2021-08-27 01:53:47",842,757,0.899049881235154,-0.0451306413301663,0,0,-0.523993578014496,NA,NA,-0.523993578014496,-0.523993578014496
"75","Lucky429","2022-05-04 15:01:51",581,1075,1.85025817555938,0.0533562822719449,12,0,-0.00151717311793244,-0.042559614418796,NA,0.00905386518632213,-0.00151717311793244
"76","chelias22","2017-06-26 02:43:06",1856,1859,1.00161637931034,0.165409482758621,24,0,-0.0641466372969305,-0.435318071257846,NA,0.0263899941812164,-0.0641466372969305
"77","Tiagoares","2018-11-02 20:53:51",1306,713,0.54594180704441,0.25114854517611,0,0,-0.0255772082993829,NA,NA,-0.0255772082993829,-0.0255772082993829
"78","chemicalustaz","2020-08-25 21:48:36",507,589,1.16173570019724,0.331360946745562,0,3,0.0724199932979806,NA,0.0588405000229334,0.0724199932979806,0.0969596876428178
"79","GennadiyZ","2023-02-06 13:19:56",317,163,0.514195583596215,0.0220820189274448,0,0,0.194524746008557,NA,NA,0.194524746008557,0.194524746008557
"80","erim_61","2018-01-03 11:56:50",2176,4062,1.86672794117647,0.0206801470588235,1,8,-0.0792485162869697,-Inf,-0.22825865198098,-0.0786413515197922,-0.0701009910050682
"81","acKRz","2019-09-30 08:59:41",1509,289,0.191517561298873,0.190192180251822,0,1,0.200670695462151,NA,-0.287682072451781,0.200670695462151,0.111318685199154
"82","dbovie","2023-09-22 14:26:05",89,194,2.17977528089888,2.87640449438202,0,0,0.214856054258103,NA,NA,0.214856054258103,0.214856054258103
"83","Dudderkins","2020-01-18 04:50:12",1408,1919,1.36292613636364,0.210227272727273,0,1,-0.0840684905694257,NA,NA,-0.0840684905694257,-0.0812755602112889
"84","mudgal20","2021-07-25 10:10:21",665,614,0.923308270676692,0.359398496240601,0,2,-0.334150433860055,NA,0.182321556793955,-0.334150433860055,-0.349029381065849
"85","mr_zippo","2020-02-14 13:12:35",1405,1447,1.02989323843416,0.414946619217082,46,0,-0.0661894096291828,-0.140409388571543,NA,0.0220065123448032,-0.0661894096291828
"86","Pepecamacho","2021-07-14 14:32:03",878,305,0.347380410022779,0.232346241457859,0,0,-0.516795790752496,NA,NA,-0.516795790752496,-0.516795790752496
"87","Les_Dette","2022-07-27 07:33:40",414,384,0.927536231884058,0.253623188405797,0,0,0.175818979306388,NA,NA,0.175818979306388,0.175818979306388
"88","Judunha","2018-12-20 04:23:49",1826,7240,3.96495071193866,-0.0388828039430449,0,2,0.0382047342400584,NA,Inf,0.0382047342400584,0.038761849964294
"89","albes99","2022-06-27 13:01:40",519,452,0.870905587668593,0.570327552986512,2,1,-0.0358028319559162,0,NA,-0.103899595018152,-0.0928917989400432
"90","kingcat1","2018-12-01 11:36:29",1845,5788,3.13712737127371,0.218970189701897,0,3,-0.101456052243849,NA,-0.762140052046897,-0.101456052243849,-0.101936150920387
"91","hasroltakaful","2019-04-20 18:23:59",1705,3138,1.84046920821114,0.236950146627566,0,0,-0.0950096011985865,NA,NA,-0.0950096011985865,-0.0950096011985865
"92","La_Mazet","2021-03-31 16:12:09",448,378,0.84375,1.19419642857143,0,0,0.333149345595511,NA,NA,0.333149345595511,0.333149345595511
"93","diegogoodman48","2018-10-15 19:33:24",1731,464,0.268053148469093,0.305603697284806,0,3,0.0656539702214366,NA,-Inf,0.0656539702214366,0.0896121586896869
"94","AriannaCR","2022-10-12 22:00:11",420,338,0.804761904761905,-0.7,7,0,0.0137933221323358,-0.300104592450338,NA,0,0.0137933221323358
"95","jaykarokaro","2020-06-05 12:43:58",1225,622,0.507755102040816,0.524897959183673,1,0,-0.279789048028957,NA,NA,-0.316025499791849,-0.279789048028957
"96","sahana16","2023-03-17 15:56:19",285,954,3.34736842105263,-1.78947368421053,0,3,0.166087319387822,NA,0.182321556793955,0.166087319387822,0.165148574297597
"97","mredzuan2020","2021-09-14 04:42:04",784,470,0.599489795918367,0.594387755102041,0,0,-0.037202159783021,NA,NA,-0.037202159783021,-0.037202159783021
"98","stasmagovski","2020-09-26 18:03:00",1186,3673,3.09696458684654,0.219224283305228,2,4,0.123217839052556,1.09861228866811,-0.25489224962879,0.119257067859108,0.118054539265916
